symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours,entry_session,market_conditions
SOLUSDT,long,2024-02-10 03:30:00,109.6718085,2024-02-10 10:45:00,107.92197,-14.956120625399965,-1.7046450712764492,stopped,early_trend,86,7.25,Asian Session,"{'atr_percentile': np.float64(61.0), 'adx_value': np.float64(46.53196967627735), 'ema_slope': np.float64(0.1469935661514879)}"
XMRUSDT,short,2024-02-10 10:45:00,118.570685,2024-02-10 17:50:00,119.57980284249999,-0.37063006641048446,-0.044654504900899346,stopped,early_trend,85,7.083333333333333,London Session,"{'atr_percentile': np.float64(50.0), 'adx_value': np.float64(29.415481958072036), 'ema_slope': np.float64(0.08510310313104248)}"
SUIUSDT,long,2024-02-13 09:15:00,1.8048019499999999,2024-02-13 13:35:00,1.789459724025,-0.4059681254397214,-0.04393315815064672,stopped,early_trend,90,4.333333333333333,London Session,"{'atr_percentile': np.float64(61.0), 'adx_value': np.float64(22.939129830538473), 'ema_slope': np.float64(0.2012956890072916)}"
SUIUSDT,long,2024-02-14 12:45:00,1.9410700499999998,2024-02-14 14:25:00,1.910088,-15.788789164417386,-1.705254631459579,stopped,strong_trend,88,1.6666666666666667,London Session,"{'atr_percentile': np.float64(60.0), 'adx_value': np.float64(47.881042172236455), 'ema_slope': np.float64(0.09324170906560775)}"
LINKUSDT,long,2024-02-14 10:20:00,20.304147,2024-02-14 15:05:00,19.98,-15.583647638249998,-1.7055790664340635,stopped,early_trend,92,4.75,London Session,"{'atr_percentile': np.float64(61.0), 'adx_value': np.float64(32.415344389893704), 'ema_slope': np.float64(0.049327516398230575)}"
QNTUSDT,short,2024-02-21 18:30:00,102.75859500000001,2024-02-21 21:40:00,104.40429999999999,-19.356090514749763,-1.7124062393515387,stopped,early_trend,94,3.1666666666666665,NY Session,"{'atr_percentile': np.float64(54.0), 'adx_value': np.float64(24.101055111249433), 'ema_slope': np.float64(0.09320919784214998)}"
FILUSDT,long,2024-02-29 13:50:00,8.303149499999998,2024-02-29 14:40:00,8.170421399999999,-15.313164911459953,-1.7076479713511072,stopped,early_trend,95,0.8333333333333334,London Session + NY Session,"{'atr_percentile': np.float64(74.0), 'adx_value': np.float64(39.098534237144186), 'ema_slope': np.float64(0.1782995930941459)}"
DOGEUSDT,long,2024-03-01 16:30:00,0.12718356,2024-03-01 18:20:00,0.13663165,62.158079677088594,4.849908016059619,completed,strong_trend,86,1.8333333333333333,London Session + NY Session,"{'atr_percentile': np.float64(73.0), 'adx_value': np.float64(35.139156437245695), 'ema_slope': np.float64(0.3208152754057168)}"
DOGEUSDT,long,2024-03-01 20:45:00,0.137718825,2024-03-01 21:05:00,0.13551435,-15.776846749874888,-1.7098267039745534,stopped,strong_trend,90,0.3333333333333333,NY Session,"{'atr_percentile': np.float64(85.0), 'adx_value': np.float64(57.4661352292308), 'ema_slope': np.float64(0.44546673103716655)}"
HBARUSDT,long,2024-03-02 00:45:00,0.1168584,2024-03-02 01:20:00,0.11499489,-15.65944551921749,-1.703796483179642,stopped,early_trend,92,0.5833333333333334,Asian Session,"{'atr_percentile': np.float64(74.0), 'adx_value': np.float64(24.163398308387684), 'ema_slope': np.float64(0.04058824819034608)}"
