symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours
VETUSDT,long,2025-01-17 04:15:00,0.0532075905,2025-01-17 05:30:00,0.05725136,38.2425342152618,4.646338347749471,completed,trending,91,1.25
VETUSDT,long,2025-01-17 06:25:00,0.056640306,2025-01-17 08:15:00,0.0550449,-19.731222569039705,-2.9251834608732525,stopped,trending,86,1.8333333333333333
LTCUSDT,long,2025-01-17 07:25:00,139.159545,2025-01-17 08:35:00,135.22464000000002,-16.343265206999945,-2.9360661546787794,stopped,trending,89,1.1666666666666667
FILUSDT,long,2025-01-17 04:45:00,5.878938,2025-01-17 12:00:00,5.780214,-20.291350984799962,-1.7883592852994845,stopped,trending,87,7.25
UNIUSDT,long,2025-01-17 08:45:00,14.8564245,2025-01-17 15:00:00,14.863830427613248,-0.8582604093060981,-0.06017741750000832,stopped,trending,86,6.25
RENDERUSDT,long,2025-01-17 08:45:00,7.7748855,2025-01-18 00:10:00,8.166914499999999,37.57256417211529,3.0393429593882804,completed,trending,88,15.416666666666666
ZECUSDT,short,2025-01-18 06:15:00,51.544215,2025-01-18 09:00:00,52.61155899999999,-19.11870448689985,-2.181873709202849,stopped,trending,85,2.75
LTCUSDT,long,2025-01-18 09:20:00,126.473205,2025-01-18 15:00:00,126.53625189269249,-0.45664985159089944,-0.06017741750000187,stopped,trending,88,5.666666666666667
RENDERUSDT,short,2025-01-18 15:10:00,7.406295000000001,2025-01-18 15:35:00,7.5414338999999995,-20.07042112529979,-1.9356527237302654,stopped,trending,88,0.4166666666666667
ARBUSDT,short,2025-01-18 05:00:00,0.7922037000000001,2025-01-19 02:35:00,0.7929959037,25.6589124449747,2.7104005269595497,stopped,trending,88,21.583333333333332
APTUSDT,short,2025-01-18 05:00:00,9.4978487,2025-01-19 02:40:00,9.5073465487,25.247646038600934,2.14374912814093,stopped,trending,94,21.666666666666668
XMRUSDT,long,2025-01-19 03:50:00,222.10099499999998,2025-01-19 04:30:00,218.2815,-20.308526861249945,-1.828765049994481,stopped,trending,85,0.6666666666666666
TONUSDT,short,2025-01-18 06:35:00,5.385306,2025-01-19 08:15:00,5.1187581,37.92417782576706,2.983965419109894,completed,trending,87,25.666666666666668
POLUSDT,short,2025-01-19 05:50:00,0.47654161,2025-01-19 09:05:00,0.45132554999999996,37.9290795994819,3.199050532643947,completed,trending,89,3.25
DOTUSDT,short,2025-01-19 05:50:00,6.9205380000000005,2025-01-19 09:15:00,6.5098533,37.908270356988126,3.603715715548427,completed,trending,89,3.4166666666666665
QNTUSDT,short,2025-01-19 09:35:00,106.92651000000001,2025-01-19 13:25:00,109.14904,-21.07234397249993,-2.189701648824031,stopped,trending,86,3.8333333333333335
AAVEUSDT,short,2025-01-19 09:35:00,299.21032,2025-01-19 13:55:00,306.306,-14.857427951999917,-2.4827733134338272,stopped,trending,90,4.333333333333333
UNIUSDT,short,2025-01-19 08:15:00,13.684154500000002,2025-01-19 14:00:00,13.6978386545,25.812355425519517,2.418327224093433,stopped,trending,87,5.75
DOTUSDT,short,2025-01-19 13:45:00,6.587704500000001,2025-01-19 14:00:00,6.711304599999999,-21.07724335580471,-1.987256031368714,stopped,trending,88,0.25
ZECUSDT,short,2025-01-19 05:20:00,50.224875000000004,2025-01-19 14:05:00,50.275099875,24.35418501189769,2.693904720397533,stopped,trending,86,8.75
ZECUSDT,short,2025-01-19 17:25:00,50.424775000000004,2025-01-19 19:30:00,51.49143999999999,-20.208940528499753,-2.226522415320616,stopped,trending,88,2.0833333333333335
ALGOUSDT,long,2025-01-19 18:30:00,0.44642309999999996,2025-01-19 21:25:00,0.43567389,-20.738634733946917,-2.5165282317379982,stopped,trending,85,2.9166666666666665
ARBUSDT,short,2025-01-19 20:00:00,0.7818089,2025-01-19 21:30:00,0.747563595,39.157664337137135,2.6264278575077693,completed,trending,85,1.5
UNIUSDT,long,2025-01-19 16:00:00,14.156074499999999,2025-01-19 21:40:00,13.776209999999999,-20.551817336700005,-2.7919269319683226,stopped,trending,85,5.666666666666667
LTCUSDT,long,2025-01-19 14:15:00,122.04099,2025-01-19 21:45:00,118.89099,-19.69507553399995,-2.6896804008227004,stopped,trending,87,7.5
FILUSDT,short,2025-01-19 22:00:00,5.07746,2025-01-20 04:50:00,5.0749136538099995,13.206139791555367,1.9854460186087763,stopped,trending,87,6.833333333333333
RENDERUSDT,short,2025-01-19 22:00:00,6.8735615,2025-01-20 06:00:00,6.870114408907749,13.202978139532782,1.960035808655038,stopped,trending,87,8.0
DOTUSDT,short,2025-01-19 22:00:00,6.408794,2025-01-20 06:35:00,6.405579989809,13.179404040594516,1.8198727274515805,stopped,trending,87,8.583333333333334
POLUSDT,short,2025-01-19 22:00:00,0.452963405,2025-01-20 06:40:00,0.4593455892024999,8.019310793042361,1.1240700339455363,stopped,trending,87,8.666666666666666
AAVEUSDT,long,2025-01-20 08:35:00,357.33858,2025-01-20 12:00:00,341.62803,-16.094981635499956,-4.50412648852524,stopped,trending,86,3.4166666666666665
JUPUSDT,long,2025-01-20 08:00:00,1.00500225,2025-01-20 12:40:00,0.95904,-19.946008652699994,-4.68083262873292,stopped,trending,97,4.666666666666667
ALGOUSDT,long,2025-01-20 07:15:00,0.4558278,2025-01-20 17:05:00,0.43740216,-20.070848383158026,-4.150013772306126,stopped,trending,87,9.833333333333334
AAVEUSDT,long,2025-01-20 15:15:00,349.94488499999994,2025-01-20 17:05:00,336.55311,-13.76934889724994,-3.9347192907963042,stopped,trending,86,1.8333333333333333
TONUSDT,short,2025-01-21 05:15:00,4.9969003,2025-01-21 12:10:00,5.079874799999999,-20.978464134284724,-1.771432708093032,stopped,trending,85,6.916666666666667
APTUSDT,short,2025-01-21 05:05:00,8.281857,2025-01-21 12:15:00,8.494686199999999,-19.985066888399825,-2.6812380213761,stopped,trending,92,7.166666666666667
POLUSDT,short,2025-01-20 16:25:00,0.455801985,2025-01-21 14:30:00,0.4555734003045225,13.27476624450579,1.7878438538184573,stopped,trending,85,22.083333333333332
DOTUSDT,short,2025-01-21 14:30:00,6.549723500000001,2025-01-21 15:00:00,6.54643881366475,-0.9913053431280238,-0.059822417499989365,stopped,trending,85,0.5
ARBUSDT,short,2025-01-21 13:15:00,0.7093451500000001,2025-01-21 16:05:00,0.71824753,-21.419186258513726,-1.3657041249947046,stopped,trending,88,2.8333333333333335
JUPUSDT,short,2025-01-21 15:05:00,0.8522736500000001,2025-01-21 16:10:00,0.8812303499999998,-19.381762425599824,-3.509451125234216,stopped,trending,89,1.0833333333333333
RENDERUSDT,short,2025-01-20 12:00:00,7.130433000000001,2025-01-21 17:45:00,7.137563433,27.241113568773894,4.064256413584858,stopped,trending,78,29.75
AAVEUSDT,long,2025-01-21 12:10:00,362.51116499999995,2025-01-22 01:20:00,362.69187681575244,-0.21814985724617555,-0.06017741750000323,stopped,trending,91,13.166666666666666
APTUSDT,short,2025-01-22 08:45:00,8.636379650000002,2025-01-22 11:50:00,8.755847099999999,-21.032407478136946,-1.4940655684641722,stopped,trending,93,3.0833333333333335
QNTUSDT,long,2025-01-22 12:35:00,117.90892499999998,2025-01-22 14:50:00,115.97391,-18.57285503324981,-1.7502072546670906,stopped,trending,86,2.25
ZECUSDT,short,2025-01-22 13:30:00,49.23537,2025-01-22 15:50:00,49.210678461944994,-0.8247060807736946,-0.05982241749998125,stopped,trending,89,2.3333333333333335
XMRUSDT,long,2025-01-22 14:30:00,216.49819499999998,2025-01-22 16:05:00,213.21657000000002,-17.589840603749813,-1.6249410858829392,stopped,trending,89,1.5833333333333333
TRXUSDT,long,2025-01-22 10:15:00,0.251295585,2025-01-22 18:00:00,0.25808089500000003,36.06016881605167,1.5674169840767527,completed,trending,85,7.75
ZECUSDT,short,2025-01-23 04:05:00,47.826075,2025-01-23 05:15:00,47.8020902233875,-0.7438785707694159,-0.05982241749999796,stopped,trending,88,1.1666666666666667
APTUSDT,short,2025-01-23 04:05:00,8.357819000000001,2025-01-23 07:15:00,8.3536275537715,-0.814975448299828,-0.059822417499978936,stopped,trending,88,3.1666666666666665
ARBUSDT,short,2025-01-23 04:30:00,0.6906545,2025-01-23 07:50:00,0.7011604599999999,-20.559139807871862,-1.6319966391299738,stopped,trending,100,3.3333333333333335
QNTUSDT,short,2025-01-23 05:35:00,108.475735,2025-01-23 14:25:00,108.42133441889749,-0.6489280707788062,-0.05982241749998801,stopped,trending,87,8.833333333333334
FILUSDT,short,2025-01-22 15:15:00,5.107445,2025-01-23 16:10:00,5.1125524449999995,24.489131846011233,1.957057593137096,stopped,trending,89,24.916666666666668
QNTUSDT,long,2025-01-24 13:15:00,111.605775,2025-01-24 18:45:00,110.5971796125,6.219230596709133,0.619166545688671,stopped,trending,86,5.5
